,SalDoc_InternalNo,SalDocItem_ArtInternalNo
0,5848925,41641
1,5848925,52457
2,5848928,283588
3,5848928,30094
4,5848928,30095
5,5848931,252092
6,5848931,286212
7,5848931,265425
8,5848932,37416
9,5848932,37422
10,5848932,247352
11,5848932,114476
12,5848934,36200
13,5848934,36205
14,5848934,265377
15,5848934,265321
16,5848934,273252
17,5848934,273253
18,5848934,37416
19,5848937,280525
20,5848937,11065
21,5848937,47732
22,5848937,258547
23,5848937,261326
24,5848937,262114
25,5848937,261327
26,5848937,90092
27,5848937,90093
28,5848937,90095
29,5848941,53245
30,5848941,268512
31,5848943,30095
32,5848943,30102
33,5848943,282569
34,5848943,30094
35,5848943,30101
36,5848943,30076
37,5848943,30077
38,5848943,30080
39,5848943,30082
40,5848943,30099
41,5848943,30098
42,5848943,30086
43,5848943,30081
44,5848943,282146
45,5848943,30097
46,5848943,266358
47,5848943,266354
48,5848943,282327
49,5848943,40713
50,5848943,51909
51,5848943,51909
52,5848943,79785
53,5848943,30087
54,5848943,37511
55,5848943,43169
56,5848943,30090
57,5848943,30088
58,5848943,30092
59,5848943,30091
60,5848943,30103
61,5848943,30089
62,5848949,46454
63,5848949,61648
64,5848949,30730
65,5848949,48230
66,5848949,48139
67,5848949,56466
68,5848949,266380
69,5848949,266384
70,5848949,266383
71,5848949,266381
72,5848949,56544
73,5848949,270560
74,5848949,50157
75,5848949,261313
76,5848949,79121
77,5848949,276055
78,5848949,52693
79,5848949,60165
80,5848949,100504
81,5848954,31450
82,5848954,277012
83,5848954,55446
84,5848954,106212
85,5848954,114476
86,5848954,114477
87,5848954,277584
88,5848956,49433
89,5848956,278111
90,5848956,270451
91,5848957,2338
92,5848957,52465
93,5848957,30116
94,5848961,48553
95,5848961,266423
96,5848961,266369
97,5848962,46441
98,5848962,46438
99,5848962,46446
100,5848965,32281
101,5848965,31450
102,5848965,31448
103,5848965,258019
104,5848965,30088
105,5848965,30089
106,5848965,30087
107,5848965,30090
108,5848965,30091
109,5848965,30095
110,5848965,46974
111,5848966,58197
112,5848966,46974
113,5848966,30090
114,5848966,41650
115,5848966,252993
116,5848966,33594
117,5848966,259527
118,5848968,30163
119,5848968,75035
120,5848968,111074
121,5848968,30970
122,5848968,90091
123,5848968,32315
124,5848970,60996
125,5848970,60985
126,5848970,60979
127,5848971,278111
128,5848971,257790
129,5848971,31450
130,5848971,31448
131,5848971,37416
132,5848971,37422
133,5848974,50312
134,5848974,51724
135,5848974,49313
136,5848974,282769
137,5848974,282767
138,5848974,282768
139,5848977,278676
140,5848977,48474
141,5848977,306911
142,5848994,49313
143,5848994,34193
144,5848994,27798
145,5848994,27803
146,5848994,27800
147,5848994,31450
148,5848994,31445
149,5848994,33596
150,5848994,33595
151,5848994,37422
152,5848994,37511
153,5848994,74656
154,5848994,45360
155,5848994,46277
156,5848994,37384
157,5848995,30744
158,5848995,268706
159,5848995,256073
160,5848995,241936
161,5848995,53782
162,5848995,48824
163,5848995,264757
164,5848999,46418
165,5848999,46418
166,5848999,46971
167,5849002,304639
168,5849002,291958
169,5849003,30089
170,5849003,269048
171,5849006,37489
172,5849006,48246
173,5849006,37469
174,5849006,54347
175,5849006,30085
176,5849008,46972
177,5849008,51909
178,5849008,27779
179,5849008,106212
180,5849008,36967
181,5849010,152967
182,5849010,305433
183,5849010,36892
184,5849010,51949
185,5849010,167254
186,5849010,49313
187,5849010,50012
188,5849010,56544
189,5849010,56603
190,5849010,259524
191,5849012,280881
192,5849012,31450
193,5849012,181575
194,5849013,307422
195,5849013,75026
196,5849013,39078
197,5849015,28206
198,5849015,28207
199,5849015,97489
200,5849015,229185
201,5849015,49917
202,5849015,74838
203,5849015,49839
204,5849015,257324
205,5849015,257548
206,5849015,31422
207,5849015,58199
208,5849016,257736
209,5849016,42204
210,5849022,52460
211,5849022,52457
212,5849022,252771
213,5849022,252628
214,5849022,252740
215,5849027,31888
216,5849029,205565
217,5849029,270476
218,5849029,49353
219,5849029,51909
220,5849029,34651
221,5849031,31388
222,5849031,110885
223,5849031,71995
224,5849031,71996
225,5849031,40982
226,5849031,31083
227,5849032,37293
228,5849032,251370
229,5849033,30379
230,5849033,31450
231,5849033,31445
232,5849035,30998
233,5849035,45677
234,5849035,31004
235,5849035,60282
236,5849035,57033
237,5849035,33577
238,5849035,31445
239,5849035,31448
240,5849035,31450
241,5849035,35104
242,5849035,35107
243,5849035,36896
244,5849035,36897
245,5849038,34811
246,5849038,275953
247,5849038,40356
248,5849038,40357
249,5849038,40346
250,5849038,40430
251,5849042,31445
252,5849042,37511
253,5849042,94873
254,5849042,270993
255,5849042,270995
256,5849042,241867
257,5849042,31450
258,5849042,27798
259,5849042,37319
260,5849042,27803
261,5849042,106212
262,5849042,49831
263,5849044,304281
264,5849044,304282
265,5849044,304283
266,5849044,304284
267,5849044,43169
268,5849044,27798
269,5849044,27801
270,5849044,27803
271,5849044,83956
272,5849044,83955
273,5849044,31865
274,5849044,49313
275,5849044,50012
276,5849044,31450
277,5849044,98590
278,5849044,98588
279,5849044,257324
280,5849044,257548
281,5849044,264324
282,5849044,264325
283,5849045,31450
284,5849045,31445
285,5849045,30088
286,5849049,37482
287,5849049,37484
288,5849049,37480
289,5849049,37485
290,5849049,37487
291,5849049,37492
292,5849049,37481
293,5849049,48677
294,5849049,30080
295,5849049,282146
296,5849049,282569
297,5849049,103338
298,5849049,265270
299,5849049,58201
300,5849049,286882
301,5849049,286010
302,5849049,309254
303,5849049,257971
304,5849049,257967
305,5849049,285701
306,5849050,261309
307,5849050,34652
308,5849050,277882
309,5849050,38020
310,5849050,241968
311,5849050,253368
312,5849052,2335
313,5849052,2334
314,5849052,30095
315,5849052,30085
316,5849052,280593
317,5849052,37422
318,5849052,287280
319,5849052,37498
320,5849052,35105
321,5849052,35110
322,5849055,266440
323,5849055,247859
324,5849055,280488
325,5849055,280489
326,5849055,280814
327,5849055,280874
328,5849055,279768
329,5849055,280291
330,5849055,279768
331,5849059,117836
332,5849059,43495
333,5849059,55434
334,5849059,90093
335,5849059,258945
336,5849064,309254
337,5849064,37438
338,5849064,51909
339,5849064,74937
340,5849064,153065
341,5849064,153065
342,5849066,304436
343,5849068,30101
344,5849068,30090
345,5849068,30087
346,5849068,30089
347,5849068,30102
348,5849068,30078
349,5849068,30080
350,5849068,30095
351,5849068,30076
352,5849068,266364
353,5849068,30973
354,5849068,2331
355,5849072,31445
356,5849072,41612
357,5849072,74931
358,5849072,47243
359,5849073,280563
360,5849073,47806
361,5849076,41819
362,5849076,252740
363,5849076,123705
364,5849076,160471
365,5849076,37068
366,5849076,80172
367,5849076,31450
368,5849076,30968
369,5849076,51909
370,5849076,34651
371,5849076,43167
372,5849076,43170
373,5849076,34617
374,5849076,90091
375,5849079,11065
376,5849079,56466
377,5849079,304732
378,5849079,47363
379,5849079,53115
380,5849079,98348
381,5849079,98358
382,5849079,48574
383,5849079,178710
384,5849079,30079
385,5849079,286010
386,5849085,266344
387,5849085,266346
388,5849085,266336
389,5849086,37068
390,5849086,37065
391,5849089,41757
392,5849089,41760
393,5849089,252081
394,5849089,38673
395,5849089,253346
396,5849089,37065
397,5849089,30235
398,5849089,48059
399,5849089,30089
400,5849096,114476
401,5849096,114477
402,5849096,114475
403,5849096,110975
404,5849097,52436
405,5849097,2335
406,5849097,47243
407,5849099,261309
408,5849099,261318
409,5849102,31445
410,5849102,43169
411,5849102,79786
412,5849102,52790
413,5849102,50012
414,5849102,30379
415,5849102,265377
416,5849102,270451
417,5849102,79782
418,5849104,259033
419,5849104,216386
420,5849106,47243
421,5849106,305499
422,5849106,305432
423,5849106,100515
424,5849106,27803
425,5849106,27799
426,5849110,47591
427,5849110,30076
428,5849111,51909
429,5849111,37293
430,5849111,37511
431,5849118,28201
432,5849118,28201
433,5849121,46970
434,5849121,48855
435,5849121,46971
436,5849121,46972
437,5849121,31450
438,5849121,31448
439,5849121,43169
440,5849121,27799
441,5849121,27801
442,5849121,27803
443,5849121,265669
444,5849121,31388
445,5849121,31390
446,5849121,97491
447,5849121,292028
448,5849121,241937
449,5849121,275614
450,5849122,30974
451,5849122,30975
452,5849122,253829
453,5849124,30095
454,5849124,30088
455,5849124,30085
456,5849124,277792
457,5849124,2337
458,5849124,74937
459,5849136,41819
460,5849136,41816
461,5849136,279768
462,5849136,41611
463,5849136,41615
464,5849136,108810
465,5849136,41500
466,5849136,41498
467,5849136,34617
468,5849137,252744
469,5849137,51631
470,5849149,28207
471,5849149,28206
472,5849149,30968
473,5849149,31825
474,5849149,266319
475,5849149,270622
476,5849149,281145
477,5849152,34148
478,5849152,257869
479,5849152,117697
480,5849152,255996
481,5849152,36990
482,5849152,154602
483,5849152,286159
484,5849152,286156
485,5849152,37461
486,5849152,34146
487,5849152,307242
488,5849152,304962
489,5849152,41796
490,5849152,41812
491,5849152,36940
492,5849152,36941
493,5849152,152936
494,5849152,273306
495,5849157,52660
496,5849157,282779
497,5849158,270993
498,5849158,37410
499,5849158,56544
500,5849158,94642
501,5849158,41615
502,5849158,49839
503,5849158,49088
504,5849158,257256
505,5849158,37511
506,5849158,266440
507,5849158,47243
508,5849158,47245
509,5849158,52624
510,5849158,52623
511,5849160,247865
512,5849160,247873
513,5849161,103340
514,5849161,110968
515,5849161,103172
516,5849161,103392
517,5849161,52460
518,5849166,290460
519,5849166,241867
520,5849166,270477
521,5849166,31523
522,5849166,31551
523,5849166,31533
524,5849166,34146
525,5849166,266215
526,5849166,43169
527,5849166,31450
528,5849166,106211
529,5849169,266440
530,5849169,31865
531,5849169,31864
532,5849169,31866
533,5849169,31867
534,5849169,31450
535,5849169,31445
536,5849169,31451
537,5849169,31448
538,5849169,34651
539,5849169,171759
540,5849169,50912
541,5849169,36931
542,5849169,36928
543,5849169,36927
544,5849169,36930
545,5849169,49917
546,5849169,27803
547,5849169,27799
548,5849169,36941
549,5849169,36947
550,5849169,36940
551,5849169,36943
552,5849169,111074
553,5849174,40881
554,5849174,53533
555,5849178,60378
556,5849178,30076
557,5849178,51137
558,5849178,30086
559,5849179,64325
560,5849179,53776
561,5849181,47806
562,5849181,41796
563,5849184,282285
564,5849184,152967
565,5849185,277929
566,5849185,283651
567,5849186,304414
568,5849189,39986
569,5849189,41812
570,5849189,41767
571,5849189,53226
572,5849190,258404
573,5849190,286967
574,5849190,287815
575,5849190,304583
576,5849190,304581
577,5849190,258395
578,5849190,278472
579,5849191,30094
580,5849191,30089
581,5849193,60244
582,5849193,60243
583,5849193,268512
584,5849193,241856
585,5849195,47243
586,5849195,286010
587,5849195,46597
588,5849196,287815
589,5849196,287730
590,5849196,30101
591,5849198,268944
592,5849198,241867
593,5849198,34560
594,5849198,33448
595,5849198,160505
596,5849198,34651
597,5849198,33598
598,5849198,52750
599,5849198,53014
600,5849199,34811
601,5849199,258933
602,5849199,41812
603,5849200,306967
604,5849200,47739
605,5849200,46600
606,5849200,282925
607,5849200,48574
608,5849200,305150
609,5849205,41872
610,5849205,280525
611,5849205,282122
612,5849208,48574
613,5849208,1077
614,5849210,46972
615,5849210,41604
616,5849210,41631
617,5849210,188151
618,5849220,286010
619,5849220,43262
620,5849220,43333
621,5849220,34585
622,5849220,34591
623,5849220,265313
624,5849220,37293
625,5849220,268948
626,5849220,30086
627,5849223,2334
628,5849223,30078
629,5849224,47992
630,5849224,272818
631,5849224,107566
632,5849224,83959
633,5849224,48574
634,5849225,307580
635,5849225,53399
636,5849225,42047
637,5849225,42436
638,5849227,41782
639,5849227,41780
640,5849230,52457
641,5849230,49313
642,5849230,49839
643,5849230,34284
644,5849230,41791
645,5849230,41819
646,5849230,31445
647,5849230,52458
648,5849230,52459
649,5849230,2593
650,5849230,254276
651,5849230,30102
652,5849230,282948
653,5849234,55767
654,5849234,50942
655,5849235,165577
656,5849235,247861
657,5849235,273281
658,5849238,265669
659,5849238,37511
660,5849238,40982
661,5849238,48211
662,5849239,87200
663,5849239,253829
664,5849239,258902
665,5849239,83955
666,5849246,47114
667,5849246,59701
668,5849246,241863
669,5849246,55130
670,5849258,32281
671,5849258,87199
672,5849258,30086
673,5849258,30076
674,5849258,261452
675,5849264,42180
676,5849264,52523
677,5849265,206927
678,5849265,31389
679,5849268,54347
680,5849268,54347
681,5849269,308775
682,5849269,307374
683,5849269,247267
684,5849269,266347
685,5849269,43169
686,5849269,290072
687,5849269,298854
688,5849269,160472
689,5849271,307010
690,5849271,307010
691,5849271,307002
692,5849271,54086
693,5849273,251290
694,5849273,292087
695,5849273,301056
696,5849273,27798
697,5849273,27799
698,5849273,252993
699,5849273,49839
700,5849273,37293
701,5849273,37511
702,5849273,290034
703,5849273,31450
704,5849273,52623
705,5849273,43263
706,5849276,38931
707,5849276,30087
708,5849276,30088
709,5849276,30078
710,5849278,47765
711,5849279,253844
712,5849279,34764
713,5849279,34763
714,5849279,252669
715,5849279,253841
716,5849279,247377
717,5849283,2594
718,5849283,74656
719,5849283,48468
720,5849283,31415
721,5849283,42433
722,5849286,160471
723,5849286,46448
724,5849288,30709
725,5849288,261309
726,5849288,34651
727,5849288,110885
728,5849288,2331
729,5849288,34560
730,5849288,27803
731,5849289,27798
732,5849289,43265
733,5849289,43271
734,5849289,74656
735,5849289,275612
736,5849291,97489
737,5849291,110961
738,5849291,103382
739,5849291,272411
740,5849291,51803
741,5849293,34651
742,5849293,43504
743,5849293,31445
744,5849294,50012
745,5849294,83959
746,5849294,28207
747,5849294,31472
748,5849297,27803
749,5849297,34284
750,5849297,2334
751,5849297,49084
752,5849297,27799
753,5849297,56291
754,5849297,43169
755,5849297,43167
756,5849297,252991
757,5849300,50012
758,5849300,37511
759,5849300,46277
760,5849300,46804
761,5849300,46806
762,5849300,30606
763,5849300,27798
764,5849300,27799
765,5849300,27801
766,5849300,277205
767,5849300,253800
768,5849300,252738
769,5849300,252739
770,5849300,252732
771,5849300,252744
772,5849300,280537
773,5849300,30089
774,5849300,282146
775,5849300,30080
776,5849300,30079
777,5849300,47349
778,5849300,47468
779,5849300,1232
780,5849300,261309
781,5849300,35359
782,5849300,257324
783,5849300,280582
784,5849300,49554
785,5849300,2332
786,5849301,253800
787,5849301,31825
788,5849301,43169
789,5849301,41642
790,5849301,40263
791,5849301,40256
792,5849301,87183
793,5849301,87264
794,5849301,71999
795,5849301,74932
796,5849301,270622
797,5849301,270541
798,5849301,31450
799,5849301,31445
800,5849301,31451
801,5849301,51909
802,5849301,74936
803,5849301,74932
804,5849301,33599
805,5849301,37509
806,5849301,36952
807,5849301,36966
808,5849303,229248
809,5849303,52218
810,5849303,34146
811,5849303,34150
812,5849303,34149
813,5849303,34147
814,5849303,34152
815,5849303,47243
816,5849303,30606
817,5849303,11065
818,5849303,273207
819,5849306,266362
820,5849306,48067
821,5849306,266347
822,5849306,266345
823,5849306,266353
824,5849308,37065
825,5849308,30975
826,5849308,28205
827,5849308,28204
828,5849308,28206
829,5849308,52618
830,5849308,266380
831,5849308,46459
832,5849308,259015
833,5849308,31450
834,5849309,51137
835,5849309,43170
836,5849309,1231
837,5849309,2331
838,5849309,28205
839,5849309,50012
840,5849309,2335
841,5849309,49831
842,5849309,34651
843,5849309,290499
844,5849309,33598
845,5849309,34764
846,5849310,52353
847,5849310,37489
848,5849310,34806
849,5849310,35110
850,5849310,31388
851,5849310,265377
852,5849310,31450
853,5849310,59700
854,5849313,290334
855,5849313,1077
856,5849321,34617
857,5849321,31448
858,5849321,31451
859,5849321,30094
860,5849321,30079
861,5849321,49313
862,5849325,87183
863,5849325,188217
864,5849325,117996
865,5849325,219593
866,5849325,304429
867,5849327,52962
868,5849327,39427
869,5849327,30236
870,5849329,257294
871,5849329,283659
872,5849329,278767
873,5849329,265270
874,5849337,192280
875,5849337,305588
876,5849337,264744
877,5849338,94869
878,5849338,123677
879,5849338,40772
880,5849338,30095
881,5849338,79957
882,5849338,178348
883,5849338,30089
884,5849338,279993
885,5849344,52790
886,5849344,259360
887,5849344,256073
888,5849347,307143
889,5849347,36951
890,5849347,36951
891,5849351,47735
892,5849351,55173
893,5849351,31823
894,5849352,308606
895,5849353,48153
896,5849353,28201
897,5849353,37422
898,5849353,116985
899,5849355,304436
900,5849355,40829
901,5849355,290579
902,5849358,305588
903,5849358,52844
904,5849358,30297
905,5849358,45623
906,5849358,251972
907,5849358,285132
908,5849358,277660
909,5849358,59176
910,5849358,304879
911,5849358,304886
912,5849358,304881
913,5849363,49313
914,5849363,50012
915,5849363,254276
916,5849363,34193
917,5849363,34187
918,5849363,306967
919,5849363,97489
920,5849363,97491
921,5849363,252993
922,5849363,49839
923,5849363,49831
924,5849363,34188
925,5849363,31387
926,5849363,58199
927,5849363,47243
928,5849367,283743
929,5849367,53533
930,5849367,27798
931,5849367,27803
932,5849367,103338
933,5849367,282800
934,5849367,31428
935,5849367,290386
936,5849367,59150
937,5849367,250754
938,5849367,30095
939,5849367,51290
940,5849368,43169
941,5849368,31450
942,5849368,31445
943,5849368,36897
944,5849368,280023
945,5849368,280012
946,5849368,34811
947,5849368,48153
948,5849368,178294
949,5849368,282802
950,5849368,34150
951,5849368,266398
952,5849368,278767
953,5849368,258720
954,5849368,275344
955,5849372,247265
956,5849372,247266
957,5849832,120990
958,5849832,41642
959,5849832,80588
960,5849832,80587
961,5849839,266345
962,5849839,266362
963,5849839,28207
964,5849839,33004
965,5849839,32741
966,5849847,31737
967,5849847,31497
968,5849847,31733
969,5849921,51137
970,5849921,250756
971,5849921,49302
972,5849981,261309
973,5849981,266350
974,5849981,47108
975,5849981,51790
976,5850247,31450
977,5850247,74938
978,5850247,241875
979,5850247,171759
980,5850247,36943
981,5850247,36941
982,5850247,36940
983,5850247,36947
984,5850247,47245
985,5850397,266347
986,5850397,266346
987,5850397,266345
988,5850397,93337
989,5850397,2332
990,5850397,28207
991,5850397,47937
992,5850397,49141
993,5850397,74931
994,5850397,74932
995,5850397,74934
996,5850397,56466
997,5850397,178347
998,5850397,304962
999,5850397,258996
1000,5850397,254274
1001,5850397,254276
1002,5850453,156630
1003,5850453,30952
1004,5850453,250748
1005,5850453,285291
1006,5850454,37516
1007,5850454,34148
1008,5850454,51251
1009,5850454,52466
1010,5850454,49313
1011,5850454,258933
1012,5850454,258934
1013,5850454,258927
1014,5850454,258928
1015,5850454,37068
1016,5850456,51631
1017,5850456,51393
1018,5850456,304380
1019,5850456,304382
1020,5850456,304386
1021,5850456,304386
1022,5850458,28201
1023,5850458,254338
1024,5850468,47814
1025,5850468,47825
1026,5850468,53287
1027,5850468,47818
1028,5850468,47817
1029,5850468,43495
1030,5850468,34367
1031,5850468,34362
1032,5850468,47807
1033,5850468,114476
1034,5850468,114475
1035,5850468,34148
1036,5850468,34150
1037,5850468,257324
1038,5850468,257790
1039,5850468,258141
1040,5850468,30089
1041,5850470,49302
1042,5850471,30094
1043,5850471,52464
1044,5850471,181575
1045,5850471,280538
1046,5850471,252746
1047,5850471,30084
1048,5850471,30081
1049,5850471,30088
1050,5850471,30078
1051,5850471,2335
1052,5850471,34147
1053,5850471,229427
1054,5850471,31450
1055,5850472,52458
1056,5850472,52987
1057,5850472,27798
1058,5850472,265669
1059,5850472,27801
1060,5850472,27803
1061,5850472,31450
1062,5850472,257749
1063,5850472,257832
1064,5850472,52465
1065,5850472,52466
1066,5850472,43169
1067,5850472,43170
1068,5850472,178293
1069,5850472,178294
1070,5850472,79966
1071,5850475,74940
1072,5850475,251370
1073,5850475,266435
1074,5850475,46606
1075,5850475,30658
1076,5850475,265264
1077,5850475,261609
1078,5850477,261309
1079,5850477,47765
1080,5850484,304436
1081,5850484,257982
1082,5850484,27798
1083,5850484,51137
1084,5850484,100512
1085,5850488,123672
1086,5850488,117836
1087,5850488,37319
1088,5850488,74656
1089,5850488,49831
1090,5850488,2335
1091,5850488,74934
1092,5850488,31450
1093,5850488,51038
1094,5850488,266398
1095,5850488,49554
1096,5850488,43262
1097,5850488,252993
1098,5850488,257790
1099,5850488,257324
1100,5850488,43495
1101,5850493,248177
1102,5850493,280490
1103,5850493,280385
1104,5850493,280688
1105,5850493,280148
1106,5850493,280130
1107,5850493,280143
1108,5850493,280489
1109,5850493,280486
1110,5850493,41801
1111,5850493,280388
1112,5850493,280291
1113,5850493,280142
1114,5850493,258933
1115,5850493,38517
1116,5850493,304949
1117,5850494,34345
1118,5850507,168283
1119,5850507,253795
1120,5850508,305146
1121,5850508,305150
1122,5850508,28204
1123,5850508,30086
1124,5850508,30089
1125,5850508,30079
1126,5850508,30076
1127,5850508,30080
1128,5850508,30091
1129,5850510,258725
1130,5850510,258226
1131,5850511,32319
1132,5850511,178344
1133,5850511,2338
1134,5850511,2334
1135,5850511,282800
1136,5850511,34559
1137,5850511,87264
1138,5850511,165577
1139,5850512,1077
1140,5850512,2593
1141,5850512,55082
1142,5850516,52844
1143,5850516,110975
1144,5850518,291958
1145,5850518,48885
1146,5850518,50805
1147,5850518,49017
1148,5850518,55113
1149,5850518,50812
1150,5850522,41944
1151,5850522,34806
1152,5850522,32295
1153,5850522,32302
1154,5850525,34651
1155,5850525,309107
1156,5850525,307580
1157,5850525,33572
1158,5850525,270476
1159,5850525,43169
1160,5850525,51137
1161,5850525,304434
1162,5850525,31450
1163,5850525,47806
1164,5850525,27798
1165,5850528,103295
1166,5850528,120975
1167,5850528,31401
1168,5850528,259524
1169,5850528,114477
1170,5850528,251318
1171,5850528,251358
1172,5850528,52972
1173,5850529,50821
1174,5850529,50495
1175,5850531,51909
1176,5850531,53245
1177,5850531,36987
1178,5850538,32309
1179,5850538,93046
1180,5850547,117836
1181,5850547,37422
1182,5850547,34152
1183,5850547,49917
1184,5850549,32999
1185,5850549,2337
1186,5850564,33960
1187,5850564,290332
1188,5850567,63716
1189,5850567,56921
1190,5850571,31450
1191,5850571,27779
1192,5850571,52465
1193,5850571,52466
1194,5850571,181596
1195,5850571,74590
1196,5850571,2336
1197,5850571,106212
1198,5850571,51909
1199,5850571,52458
1200,5850571,51250
1201,5850571,51137
1202,5850571,37416
1203,5850571,117836
1204,5850573,51083
1205,5850573,304283
1206,5850575,256073
1207,5850575,27798
1208,5850575,253841
1209,5850575,153972
1210,5850575,36799
1211,5850575,74940
1212,5850579,87221
1213,5850579,285960
1214,5850579,285959
1215,5850580,55321
1216,5850580,160478
1217,5850580,40360
1218,5850580,34811
1219,5850580,31450
1220,5850592,307013
1221,5850592,307009
1222,5850592,36089
1223,5850592,47806
1224,5850592,47808
1225,5850594,30168
1226,5850594,53696
1227,5850594,53775
1228,5850600,277204
1229,5850600,277203
1230,5850600,266361
1231,5850600,97527
1232,5850600,266353
1233,5850600,266346
1234,5850600,2338
1235,5850600,270476
1236,5850600,30974
1237,5850600,47113
1238,5850615,261645
1239,5850615,33522
1240,5850615,266359
1241,5850615,266361
1242,5850615,98346
1243,5850615,259487
1244,5850615,2334
1245,5850615,2331
1246,5850615,45677
1247,5850615,47739
1248,5850615,283835
1249,5850615,245628
1250,5850615,253800
1251,5850615,107333
1252,5850618,48906
1253,5850618,270516
1254,5850618,270518
1255,5850618,247855
1256,5850627,266384
1257,5850627,38455
1258,5850627,38453
1259,5850627,38458
1260,5850627,49917
1261,5850627,30089
1262,5850627,30088
1263,5850627,30094
1264,5850627,30078
1265,5850627,51803
1266,5850627,263299
1267,5850627,47807
1268,5850627,47806
1269,5850627,266380
1270,5850627,266381
1271,5850630,90101
1272,5850630,103170
1273,5850630,47806
1274,5850630,41796
1275,5850630,304281
1276,5850630,304283
1277,5850630,304282
1278,5850630,268548
1279,5850631,45677
1280,5850631,47243
1281,5850631,229248
1282,5850631,44119
1283,5850635,40775
1284,5850641,34284
1285,5850641,34806
1286,5850641,278089
1287,5850641,278086
1288,5850641,30088
1289,5850641,50157
1290,5850641,258128
1291,5850641,283140
1292,5850641,259530
1293,5850641,52972
1294,5850641,50012
1295,5850642,31077
1296,5850642,31081
1297,5850642,31075
1298,5850642,252753
1299,5850642,252737
1300,5850642,309310
1301,5850642,37383
1302,5850642,34569
1303,5850642,50882
1304,5850642,277874
1305,5850642,55572
1306,5850642,259487
1307,5850642,266440
1308,5850647,30102
1309,5850647,266347
1310,5850647,282137
1311,5850647,31533
1312,5850647,252993
1313,5850647,270800
1314,5850647,117836
1315,5850647,34038
1316,5850647,263282
1317,5850647,43273
1318,5850647,34651
1319,5850648,110973
1320,5850648,52750
1321,5850648,30092
1322,5850660,46972
1323,5850660,34618
1324,5850660,113871
1325,5850660,34617
1326,5850660,30606
1327,5850665,43273
1328,5850665,30095
1329,5850665,265294
1330,5850665,43758
1331,5850665,43754
1332,5850665,56711
1333,5850665,33513
1334,5850665,75580
1335,5850665,305150
1336,5850665,36940
1337,5850665,36947
1338,5850665,54776
1339,5850665,253346
1340,5850665,33968
1341,5850665,2332
1342,5850665,28202
1343,5850669,46484
1344,5850669,51038
1345,5850669,51507
1346,5850669,127402
1347,5850669,53226
1348,5850671,207982
1349,5850671,74931
1350,5850671,305150
1351,5850674,168292
1352,5850674,261309
1353,5850674,257324
1354,5850674,257790
1355,5850674,257548
1356,5850674,37416
1357,5850674,37422
1358,5850677,2334
1359,5850677,49313
1360,5850677,30088
1361,5850677,30076
1362,5850677,30090
1363,5850677,30089
1364,5850677,30087
1365,5850677,30091
1366,5850677,30095
1367,5850677,152967
1368,5850681,90100
1369,5850681,52767
1370,5850681,31389
1371,5850681,229426
1372,5850681,34158
1373,5850681,27798
1374,5850681,106212
1375,5850681,241867
1376,5850683,253800
1377,5850683,253804
1378,5850683,74936
1379,5850683,286069
1380,5850683,290028
1381,5850683,290028
1382,5850683,1232
1383,5850683,56466
1384,5850683,40379
1385,5850685,37422
1386,5850685,38004
1387,5850686,83955
1388,5850686,113871
1389,5850686,53869
1390,5850686,47319
1391,5850689,34146
1392,5850689,47807
1393,5850689,43169
1394,5850689,34187
1395,5850689,279768
1396,5850689,280148
1397,5850691,117836
1398,5850691,117836
1399,5850691,39426
1400,5850699,259524
1401,5850699,49313
1402,5850699,287280
1403,5850699,286883
1404,5850699,305145
1405,5850699,41910
1406,5850699,41909
1407,5850699,47809
1408,5850699,261298
1409,5850702,117836
1410,5850702,270477
1411,5850702,39426
1412,5850704,253807
1413,5850704,94866
1414,5850704,259355
1415,5850704,270622
1416,5850704,268512
1417,5850704,268513
1418,5850704,268511
1419,5850704,268514
1420,5850709,250986
1421,5850709,40351
1422,5850714,306135
1423,5850714,305500
1424,5850714,98360
1425,5850714,62229
1426,5850714,47111
1427,5850714,37497
1428,5850714,258025
1429,5850714,74921
1430,5850714,277851
1431,5850714,306136
1432,5850714,306137
1433,5850714,306138
1434,5850714,282932
1435,5850714,282632
1436,5850714,282633
1437,5850714,282634
1438,5850714,281218
1439,5850718,38511
1440,5850718,37454
1441,5850718,94873
1442,5850719,305146
1443,5850719,253800
1444,5850719,34193
1445,5850719,304733
1446,5850719,74838
1447,5850719,2331
1448,5850719,2337
1449,5850719,261326
1450,5850719,178710
1451,5850723,49196
1452,5850723,266038
1453,5850723,263282
1454,5850723,43715
1455,5850723,265339
1456,5850723,97521
1457,5850723,46450
1458,5850723,276179
1459,5850723,290445
1460,5850723,270476
1461,5850723,50495
1462,5850723,47981
1463,5850723,270995
1464,5850723,241975
1465,5850723,304711
1466,5850723,31450
1467,5850728,48691
1468,5850728,53245
1469,5850728,30094
1470,5850728,30095
1471,5850728,30085
1472,5850733,33522
1473,5850733,37462
1474,5850733,218384
1475,5850733,275836
1476,5850740,31450
1477,5850740,38380
1478,5850740,38381
1479,5850740,50397
1480,5850740,50012
1481,5850740,33595
1482,5850745,47739
1483,5850745,2334
1484,5850745,47877
1485,5850745,47877
1486,5850745,28202
1487,5850753,74597
1488,5850753,153040
1489,5850753,170663
1490,5850753,170662
1491,5850753,153039
1492,5850753,254298
1493,5850753,254294
1494,5850753,252738
1495,5850753,273584
1496,5850753,106212
